,text
1228,"it must have 1 meg memory and support res. 1024x768 (even higher will be better)if it has 9 & 15 pin ports and also supports ega/cga , that's better.I will pay $30 + $1 (shipping) for it.let me knoe if u have one like this."
1234,"I have a 24-pin printer which is an ALPs Allegro24.  It's both a fastprinter with LQ and a very sophisticated design.  It has a straight paperpath and the capability of auto-forwarding sheets to tear off and then back(a big paper saver as you never have to waste sheets to get a currentprint out).  It can also handle single sheets without removing the formfeedand has sophisticated preferences options (you can interactively programall the preferences to control the printer and get printed feedback withoutever using a computer).  You get prompts and menus to pick your current setupand default set up.  This was THE top of the line LQ dot matrix when I boughtit three years ago for $399.  It is also Epson LQ2500 compatible (besides it'sown modes) and comes with IBM driver software (which I've never used since Iown an Amiga).  Has a card slot for upgrading memory or fonts.    I'll let it go for $150 including shipping prepaid.  COD orders must payall shipping and COD costs.   Adisak Pochanayon - 608-238-2463-------   Also a light gun and UFORCE controller for Nintendo but with PD driversoftware to use them on the Amiga.  The light gun is fully remote (no wires).Best offer over $75 ($30 less than my cost and they are both brand new).---------------------------------- CUT HERE ----------------------------------     Jeez!!! It never fails, get in the tub and there's a rub at the lamp!-- The Genie from Aladdin.             pochanay@cae.wisc.edu   eddie (Adisak) Pochanayon Check out all of SilverFox SoftWare's Releases.... your Amiga entertainment."
1237,"Time once again to clean out the ol' closet.  Some stuff is up for offers, someisn't.  Please read carefully.In the MAKE OFFER department:	WordPerfect 5.0, upgrade copy.  Includes all disks and all upgrade	manuals.  Best offer.	Balance of Power, 1992 edition, for the Amiga.  With manual and reg.	card.  Best offer.In the FOR SALE department:	Technics model 715 auto-reverse open-reel STEREO tape deck.  Because	it's auto-reverse, this deck records onto tape just like a cassette	deck does, so it's not very good for splice-type editing.  However,	I have used it effectively in ""tape studio"" applications for mastering,	and it works great.  3.75 and 7.5 ips speeds, supports up to 7"" reels.	Dual lighted VU meters with record indicators.  Full auto-reverse	capable (and the mechanism works, too!).  Adjustable sound on sound,	and socket for remote control (I don't know where you'd find one, but	they used to make 'em), plus a 110VAC unswitched outlet.  This unit	is in excellent condition and I have had it rebuilt once since I got	it--works perfectly.	Price:  $225.00 or best offer, or possible trade (see below).	Panasonic KX-P1624 printer.  24-pin with 360x360dpi resolution in both	text and graphics modes.  Warranty cards, manuals, all the usual stuff	you expect when buying like-new merchandise.  I'm selling it because I	now have a better printer.  This is the wide carriage version of the	KX-P1124, by the way.  Test prints are available upon request.	Price:  $250.00 o.b.o. or trade.	Excalibur custom pool cue.  19 oz., 13 mm, brass joint, Irish linen	wrap, could use a new tip but will hold up for a while.  I've got too	many cues as it is, and don't need this one.  Hits nicely, is very	straight and in excellent condition.	Price:  $125.00 o.b.o. or trade.  Imperial hard case (1 butt/1 shaft)	available for an additional $40.00.TRADES:  I need the following things, and I have no cash of my own right now,so if you want to trade, it needs to be straight-across.   The list:	Amiga ROM upgrade to at LEAST 2.04, preferably 2.1+, with appropriate	DOS and Workbench.	1 meg Agnus chip for the Amiga.	Amiga hard drive and controller (preferably SCSI).	IBM-compatible hard drive (and controller if not MFM).  This one's 	touchy, as I have a full-height and don't have room for more unless	I swap out--needs to be above 100M, and I will consider trading a	good ST-4096 in the deal.	Intel 9600EX or 14.4EX or similar EXTERNAL high-speed modem."
1242,"The following items are for sale:1)      ONKYO TX-901/910 reciever/amplifier. Only 2 months old.        >PERFECT< condition. 45wpc (stereo), 4 speaker ability,        40 channel memory, has digital and direct tuning also.        Plus, it also have an earphone jack... 	Bought for $350 new. Asking for no less than $250; best        offer gets it (obviously).		        ...PRICE DROPPED TO $230...      - No offers so far; what's the deal? No recievers needed? :(2)	Two ZEOS IBM-External keyboards. Under a month old, bought	for $90 each new; selling for $35 a piece, or $65 for both.	I pay shipping. "
1244,"Panasonic KX-T3000H, Combo black cordless & speaker phone all in one. new- $160, now- $100 + shipping OBO. Curtis Mathes VHS VCR Remote included and it works with universal remotes. Works great but I replaced it with a Stereo VCR. paid $300 years ago, will sell for $125 delivered OBO. Radio Shack stereo amp.  2 inputs, tone, and left and right volume.  Speakers not included.  $20 plus shipping. If you are interested in either of the above mail me at radley@gibbs.out.unc.edu."
1245,"My package is based on several articles about non-standard radiosity andsome unpublished methods.The main articles are:-  Cohen, Chen, Wallace, Greenberg :     A Progressive Refinement Approach to fast Radiosity Image Generation     Computer Graphics (SIGGRAPH), V. 22(No. 4), pp 75-84, August 1988-  Silion, Puech    A General Two-Pass Method Integrating Specular and Diffuse Reflection    Computer Graphics (SIGGRAPH), V23(No. 3), pp335-344, July 1989 I do not use hemi-cubes. I have no special hardware (SUN SPARCstation).Use anonymous as username and your e-mail address as password.Stephan.---------------------------------------------------------------------------- Stephan Amann     SIG Computer Graphics, University of Berne, Switzerland           amann@iam.unibe.ch	   Tel +41 31 65 46 79	   Fax +41 31 65 39 65 Projects: Radiosity, Raytracing, Computer Graphics"
1249,"Two Round-Trip Tickets	O'Hare --> Tuscon	American Airlines	Good thru November  No Reasonable Offer Refused, But lets start at  $750 for both (Paid $925)	Hopefully someone can use these as Ihave no use for them, and don't know a  way to get my moneys worth without going toTuscon again!  `	E-Mail only at this time	 tripper@cbnewsk.cb.att.com//////////////////////////////////////////////////////////////            Now why would AT&T or Butler Services         have anything to do with my warped ramblings?!Crabby-Old-Fart Mechanical/PCB Designer w/buku CAD background,       & still working on BSCS is looking for work!          Wants to take a shot at ASIC/IC Layout!!--------------------------------------------------------------      A.R.Tripp - a.k.a. tripper@cbnewsk.cb.att.com"
1254,"My brother is preparing to pay another year of college expenses and asked me to post this.  1987 Alfa Romeo     Gold Milano Model     V-6 Engine     Power Everything!     Seats 4 comfortably     Looks / runs great     $3,600 O.B.O.Contact:  Brian Wall          (214) 393-1216"
1255,"Here is a computation I did a long time ago that computes the lengthof the daylight.  You should be able to convert the information hereto sunrise and sunset times.--Rouben Rostamian                          Telephone: 410-455-2458Department of Mathematics and Statistics  e-mail:University of Maryland Baltimore County   bitnet: rostamian@umbc.bitnetBaltimore, MD 21228, USA                  internet: rouben@math.umbc.edu======================================================================Definitions:z = the tilt of the axis of the planet away from the normal to itsorbital plane.  In case of the Earth z is about 23.5 degrees, I think.I do not recall the exact value.  In case of Uranus, z is almost90 degrees.u = latitude of the location where the length of the day is measured.Paris is at about 45 degrees.  North pole is at 90.a = angular position of the planet around the sun.  As a goes from0 to 360 degrees, the planet makes a full circle around the sun.The spring equinox occurs at a=0.L = daylight fraction = (duration of daylight)/(duration of a full day).On the equator (u=0) L is always 1/2.  Near the north pole (u=90 degrees)L is sometimes one and sometimes zero, depending on the time of the year.Computation:Define the auxiliary angles p and q by:sin p = sin a sin zcos q = h ( tan u tan p ),       (0 < q < 180 degrees)Conclusion:L = q / 180   (if q is measured in degrees)L = q / pi    (if q is measured in radians)Wait!  But what is h?The cutoff function h is defined as follows:h (s) = s    if  |s| < 1      = 1    if   s > 1      = -1   if   s < 1As an interesting exercise, plot L versus a.   The graph will showshow the length of the daylight varies with the time of the year.Experiment with various choices of latitudes and tilt angles.Compare the behavior of the function at locations above and belowthe arctic circle."
1256,For sale KFC SVGA Monitor 1024X768 .28DP Non-interlaced
1259,"I have the following for sale. Absolutely new, I won it at a raffle and have no use for it.Microsoft Excel Software Development KitVersion 4 for MS WIndows and the Apple MacintoshContains   - a 498 page book by Microsoft Press   - 2 3.5"" floppy disks containing software/sample code  - a poster of the api calls etc.Orig. price is US$ 49.95.I would like to sell it for the highest offer over $30 + shipping.Please email reply to attmail!akachhyThanks"
1265,"Okay, here's the entry sheet.  Keep in mind that not all spots aredecided, so it may change.     Series  			Your Pick		Games  Division SemisNY Islanders-PittsburghNew Jersey-WashingtonBuffalo-BostonMontreal-QuebecSt. Louis-ChicagoToronto-DetroitWinnipeg-VancouverLos Angeles-Calgary  Division FinalsPatrickAdamsNorrisSmythe  Conference FinalsWalesCampbellStanley Cup winnerSee previous post for scoring.  Good luck!--    Keith Keller				LET'S GO RANGERS!!!!!						LET'S GO QUAKERS!!!!!	kkeller@mail.sas.upenn.edu		IVY LEAGUE CHAMPS!!!!"
1266,"1.  Software publishing SuperBase 4 windows v.1.3           --->$802.  OCR System ReadRight v.3.1 for Windows                  --->$653.  OCR System ReadRight  v.2.01 for DOS                    --->$654.  Unregistered Zortech 32 bit C++ Compiler v.3.1          --->$ 250     with Multiscope windows Debugger,     WhiteWater Resource Toolkit, Library Source Code5.  Glockenspiel/ImageSoft Commonview 2 Windows     Applications Framework for Borland C++                 --->$706.  Spontaneous Assembly Library With Source Code           --->$507.  Microsoft Macro Assembly 6.0                            --->$508.  Microsoft Windows v.3.1 SDK Documentation               --->$1259.  Microsoft FoxPro V.2.0                                  --->$7510.  WordPerfect 5.0 Developer's Toolkit                    --->$2011.  Kedwell Software DataBoss v.3.5 C Code Generator       --->$10012.  Kedwell InstallBoss v.2.0 Installation Generator       --->$3513.  Liant Software C++/Views v.2.1       Windows Application Framework with Source Code       --->$19514.  IBM OS/2 2.0 & Developer's Toolkit                     --->$9515.  CBTree DOS/Windows Library with Source Code            --->$12016.  Symantec TimeLine for Windows                          --->$9017.  TimeSlip TimeSheet Professional for Windows            --->$30"
1268,": 8~> I require BGI drivers for Super VGA Displays and Super XVGA Displays. Does : 8~> anyone know where I could obtain the relevant drivers ? (FTP sites ??): 	I would like to know too!: Regards,: Dominicgarbo.uwasa.fi (or one of its many mirrors) has a filecalled ""svgabg40"" in the programming subdirectory.These are svga bgi drivers for a variety of cards.[from the README]:""Card types supported: (SuperVGA drivers)  Ahead, ATI, Chips & Tech, Everex, Genoa, Paradise, Oak, Trident (both 8800   and 8900, 9000), Tseng (both 3000 and 4000 chipsets) and Video7.  These drivers will also work on video cards with VESA capability.  The tweaked drivers will work on any register-compatible VGA card.""enjoy,Clark Verbruggeclump@cs.mcgill.ca--"
1272,"Archive-name: space/netLast-modified: $Date: 93/04/01 14:39:15 $NETWORK RESOURCESOVERVIEW    You may be reading this document on any one of an amazing variety of    computers, so much of the material below may not apply to you. In    general, however, systems connected to 'the net' fall in one of three    categories: Internet, Usenet, or BITNET. Electronic mail may be sent    between these networks, and other resources available on one of these    networks are sometimes accessible from other networks by email sent to    special 'servers'.    The space and astronomy discussion groups actually are composed of    several mechanisms with (mostly) transparent connections between them.    One mechanism is the mailing list, in which mail is sent to a central    distribution point which relays it to all recipients of the list. In    addition to the general lists for space (called SPACE Digest for    Internet users, and SPACE on BITNET), there are a number of more    specialized mailing lists described below.    A second mechanism is Usenet 'netnews'. This is somewhat like a bulletin    board operating on each system which is a part of the net. Netnews    separates contributions into hundreds of different categories based on a    'group name'. The groups dealing most closely with space topics are    called 'sci.space.news', 'sci.space', 'sci.space.shuttle', 'sci.astro',    and 'talk.politics.space'. Contributors 'post' submissions (called    'articles' in netnews terminology) on their local machine, which sends    it to other nearby machines. Similarly, articles sent from nearby    machines are stored locally and may be forwarded to other systems, so    that an article is posted locally and eventually reaches all the Usenet    sites interested in receiving the news group to which the article was    posted.    Gateway machines redirect the Usenet sci.space group into Internet and    BITNET mailing lists and vice versa; the other Usenet groups are not    accessible as mailing lists. If you can receive netnews, its more    flexible interface and access to a wider range of material usually make    it the preferred option.MAILING LISTS    SPACE Digest is the main Internet list, and is now being run by the    International Space University (in only its second change of management    in over a decade). Email space-request@isu.isunet.edu (message body    should be in the format 'subscribe space John Public') to join. Note    that the moderated SPACE Magazine list is defunct at present for lack of    a moderator. Old copies of SPACE Digest since its inception in 1981 are    available by anonymous FTP. Retrieve	julius.cs.qub.ac.uk:pub/SpaceDigestArchive/README    for further details.    Elements is a moderated list for fast distribution of Space Shuttle    Keplerian Elements before and during Shuttle flights. NASA two line    elements are sent out on the list from Dr. Kelso, JSC, and other sources    as they are released. Email to elements-request@telesoft.com to join.    GPS Digest is a moderated list for discussion of the Global Positioning    System and other satellite navigation positioning systems. Email to    gps-request@esseye.si.com to join.    Space-investors is a list for information relevant to investing in    space-related companies. Email Vincent Cate (vac@cs.cmu.edu) to join.    Space-tech is a list for more technical discussion of space topics;    discussion has included esoteric propulsion technologies, asteroid    capture, starflight, orbital debris removal, etc. Email to    space-tech-request@cs.cmu.edu to join. Archives of old digests and    selected excerpts are available by anonymous FTP from    gs80.sp.cs.cmu.edu (128.2.205.90) in /usr/anon/public/space-tech,    or by email to space-tech-request if you don't have FTP access.    SEDS-L is a BITNET list for members of Students for the Exploration and    Development of Space and other interested parties. Email    LISTSERV@TAMVM1.BITNET with a message saying ""SUBSCRIBE SEDS-L your    name"". Email saying ""INDEX SEDS-L"" to list the archive contents.    SEDSNEWS is a BITNET list for news items, press releases, shuttle status    reports, and the like. This duplicates material which is also found in    Space Digest, sci.space, sci.space.shuttle, and sci.astro. Email    LISTSERV@TAMVM1.BITNET saying ""SUBSCRIBE SEDSNEWS your name"" to join.    Email saying ""INDEX SEDSNEWS"" to list the archive contents.    Ron Baalke (baalke@kelvin.jpl.nasa.gov) runs a mailing list which    carries the contents of the sci.space.news Usenet group. Email him    to join the list.    As a general note, please mail to the *request* address to get off a    mailing list. SPACE Digest, for example, relays many inappropriate    'please remove me from this list' messages which are sent to the list    address rather than the request address.PERIODICALLY UPDATED INFORMATION    In addition to this FAQ list, a broad variety of topical information is    posted to the net (unless otherwise noted, in the new group    sci.space.news created for this purpose). Please remember that the    individuals posting this information are performing a service for all    net readers, and don't take up their time with frivolous requests.    ACRONYMS	Garrett Wollman (wollman@UVM.EDU) posts an acronym list around the	first of each month.    ASTRO-FTP LIST	Veikko Makela (veikko.makela@helsinki.fi) posts a monthly list of	anonymous FTP servers containing astronomy and space related	material to sci.space and sci.astro.    AVIATION WEEK	Henry Spencer (henry@zoo.toronto.edu) posts summaries of	space-related stories in the weekly _Aviation Week and Space	Technology_.    BUYING TELESCOPES	Ronnie Kon (ronnie@cisco.com) posts a guide to buying telescopes to	sci.astro.    ELECTRONIC JOURNAL OF THE ASA	Don Barry (don@chara.gsu.edu) posts the monthly Electronic Journal	of the Astronomical Society of the Atlantic to sci.astro.    FLIGHT INTERNATIONAL	Swaraj Jeyasingh (sjeyasin@axion.bt.co.uk) posts summaries of	space-related news from _Flight International_. This focuses more on	non-US space activities than Aviation Week.    LARGE ASTRONOMICAL PROJECTS	Robert Bunge (rbunge@access.digex.com) posts a list describing many	""Large Telescope Projects Either Being Considered or in the Works""	to sci.astro.    NASA HEADLINE NEWS & SHUTTLE REPORTS	Peter Yee (yee@ames.arc.nasa.gov) posts a variety of NASA material,	including NASA Headline News (with the schedule for NASA SELECT),	shuttle payload briefings and flight manifests, and KSC shuttle	status reports. For Usenet users, much of this material appears in	the group sci.space.shuttle.    NASA UPDATES	Ron Baalke (baalke@kelvin.jpl.nasa.gov) posts frequent updates from	JPL, Ames, and other centers on the Ulysses, Gailileo, Pioneer,	Magellan, Landsat, and other missions.    ORBITAL ELEMENT SETS	TS Kelso (tkelso@blackbird.afit.af.mil) posts orbital elements from	NASA Prediction Bulletins.	Mike Rose (mrose@stsci.edu) posts orbital elements for the Hubble	Space Telescope to sci.astro.	Jost Jahn (j.jahn@abbs.hanse.de) posts ephemerides for asteroids,	comets, conjunctions, and encounters to sci.astro.    SATELLITE LAUNCHES	Richard Langley (lang@unb.ca) posts SPACEWARN Bulletin, which	describes recent launch/orbital decay information and satellites	which are useful for scientific activities. Recent bulletins are	available by anonymous FTP from nssdca.gsfc.nasa.gov in	ANON_DIR:[000000.ACTIVE.SPX].    SHUTTLE MANIFEST	Ken Hollis (gandalf@pro-electric.cts.com) posts a compressed version	of the Space Shuttle launch manifest to sci.space.shuttle. This	includes dates, times, payloads, and information on how to see	launches and landings.    SOLAR ACTIVITY	Cary Oler (oler@hg.uleth.ca) posts Solar Terrestrial reports	(describing solar activity and its effect on the Earth) to	sci.space. The report is issued in part from data released by the	Space Enviroment Services Center, Boulder Colorado. The intro	document needed to understand these reports is available by	anonymous FTP from solar.stanford.edu (36.10.0.4) in	pub/understanding_solar_terrestrial_reports. nic.funet.fi	(128.214.6.100) also has this document in	/pub/misc/rec.radio.shortwave/solarreports and is an archive site	for the reports (please note this site is in Europe, and the	connection to the US is only 56KB). A new primary archive site,	xi.uleth.ca (142.66.3.29), has recently been established and will be	actively supported.    SOVIET SPACE ACTIVITIES	Glenn Chapman (glennc@cs.sfu.ca) posts summaries of Soviet space	activities.    SPACE ACTIVIST NEWSLETTER	Allen Sherzer (aws@iti.org) posts a newsletter, ""One Small Step for	a Space Activist,"" to talk.politics.space. It describes current	legislative activity affecting NASA and commercial space activities.    SPACE EVENTS CALENDAR	Ron Baalke (baalke@kelvin.jpl.nasa.gov) posts a calendar including	anniversaries, conferences, launch dates, meteor showers and	eclipses, and other space-related events.    SPACE NEWS	John Magliacane (kd2bd@ka2qhd.UUCP) posts ""SpaceNews"" (covering	AMSATs, NOAA and other weather satellites, and other ham	information) to rec.radio.amateur.misc and sci.space.    SPACE REPORT	Jonathan McDowell (mcdowell@cfa.harvard.edu) posts ""Jonathan's Space	Report"" covering launches, landings, reentries, status reports,	satellite activities, etc.    TOWARD 2001	Bev Freed (freed@nss.fidonet.org) posts ""Toward 2001"", a weekly	global news summary reprinted from _Space Calendar_ magazine.WARNING ABOUT NON-PUBLIC NETWORKS    (Included at the suggestion of Eugene Miya, who wrote the item)    NASA has an internal system of unclassified electronic mail and bulletin    boards. This system is not open for public use. Specifically, NASA    personnel and procurement operations are regarded with some sensitivity.    Contractors must renegotiate their contracts. The Fair and Open    Procurement Act does not look kindly to those having inside information.    Contractors and outsiders caught using this type of information can    expect severe penalities. Unauthorized access attempts may subject you    to a fine and/or imprisonment in accordance with Title 18, USC, Section    1030. If in fact you should should learn of unauthorized access, contact    NASA personnel.    Claims have been made on this news group about fraud and waste. None    have ever been substantiated to any significant degree. Readers    detecting Fraud, Waste, Abuse, or Mismanagement should contact the NASA    Inspector General (24-hours) at 800-424-9183 (can be anonymous) or write	NASA	Inspector General	P.O. Box 23089	L'enfant Plaza Station	Washington DC 20024"
1276,"MUST SELL:1988 Toyota Camry LE -- Car has AC, PS, PB, Sunroof, AM/FM     Cassette radio, Cruise control, etc. 61000 miles.     White with red interior.Car is in excellent condition.  It is located in the Paramus, NJ area.$7900 or best offer."
1279,"I have sold the receiver.  The Equilizer is still for sale-Technics SA-450 integrated Quartz synthesizer Digital Receiver       -SOLD!!!!!-Audio Control C-101 graphic equilizer	-This is an awesome Eq., but I am broke.        -10 bands/channel, octave EQ        -subsonic filter        -rumble reducer        -tape monitor        -amazing real time spectrum analyzer with calibrtated microphone and          pink noise generator, calibrated and uncalibrated range adjustment,         display is calibrated in dB and can display the average energy per          band, or the average for the full speactrum(great for checking how          loud your system is)        -The display action has two speed settings to adjust how quickly the          display responds to transients This is one of the best equilizers around.  It is very quiet, and the displayIs fascinating to watch.  It sells for $400-$450 in stores, so I will sell itfor -$315 obo"
1280,"This drive is less than one year old.  The cartridges have all been boughtsince then.  All is in excellent condition and still under warranty.Due to a change in system use, I now need a large, contiguous drive.Offer includes:	SyDos 44i internal drive	SCSI adapter card and cables	All original documentation	Software	All original packaging	8 cartridges totalling over 350Mb (no bad sectors or defects)The installation was a breeze on my 386 clone.I will trade for something near 300Mb IDE, or sell for $450.I will also consider trading for 4 4Mx9 30 pin SIMMs at 70ns."
1295,"Here is yet another prediction for them great playoffs!(you may laugh at your convenience!) :)	Adams Division (I hate the NE (name) divisoin!!!)BOS vs BUF   BOS in 5  (the B's are hot lately!)MON vs QUE   MON in 7  (This will be the series to watch in the first round!)BOS vs MON   MON in 7  (this may be a bit biased but I feel the Canadiens will		       (smarten up and start playing they played two months ago			( i.e. bench Savard !!!)	Patrick Division PIT vs NJD   PIT in 6  (It wont be a complete cake walk... there be a few lumps			(in the cake batter!)WAS vs NYI   WAS in 6  	(This will not be an exciting series..IMO)PITT vs WAS  PIT in 4   (Washington will be tired after the NYI)	Norris DivisionCHI vs StL    CHI in 5   (StL will get a lucky game in)TOR vs DET    TOR in 7   (THis , like MON vs QUE, will be another intense 			 (series to watch!)CHI vs TOR    TOR in 7   (Potvin will be settling in nicely by this point.)	Smythe DivisionVAN vs WIN     VAN in 5  (Teemu is great, but Vancouver better as a team!)CAL vs LAK     CAL in 6  (Gretzky is great, but Calgary has been on fire lately)				...sorry for the pun... um, no I am not! :)VAN vs CAL     VAN in 6  (This will be a great series! but VAN has proven they			 (Will not lie down and get beat!)	Wales Conference finalsPittsburgh vs Montreal    	Montreal in 6 (Montreal IMHO is the only team					      (that has a chance against 						Pittsburgh.)	Campbell Conference finalsVancouver vs Toronto		Toronto in 6  (Potvin will be series MVP)	STANLEY CUP FINALS  Toronto Maple Leafs    vs    Montreal Canadiens    	(The Classic Stanley Cup Final matchup!!) <---also a dream come true!	Montreal wins the Stanley cup in the 7th game 1 - 0 in double overtime.Roy and Potvin are spectacular throughout the series and share series MVP (if that is possible) Vincent Damphouse nets game winner from a brilliant pass byBrian Bellows! Canadiens star(?) Denis Savard watched his buddies play from theowners box nursing that splinter on his thumb which has left him on the disabled list since the first game of the playoffs (awww shucks). ***************************************YEE HAA!!********************************poof* And I wake up :)Well that is my predictions...I hope and dream they come true. and you can stoplaughing anytime :)"
1300,"The following is no longer for sale, it has been sold. -Textronics Type 611 Storage Display (screen dim. 6.5""x8.5) -Textronics TM503 base with three PG502 250MHz pulse generators.  -Textronics 6289A Adj. DC power supply 0-40volts 0-1.5 amps -Keithley Instruments Picoammeter    -(3) Analogic 3 1/2 Digit panal mount voltmeters **************************************************************Still for sale, -Hewlett Packard 180A Oscilloscope with 180AA four channel 50 MHz verticalAmplifier and 1822A time base and delay generator.  Best offer over $300 -(1) Analogic 4 1/2 Digit panal mount voltmeter, powered by 5 VDC,  Model AN2574 1X3P, Same Dimensions as above, ----$55 +shipping----"
1302,"Two LH Research SM11-1 power supplies (SM10 series).1000W, 5V, 200A (currently wired for 115VAC)Control lines: +/- sense, on/off, pwr.fail, high/low margin, andcurrent monitor.(The list price from LH Research is $824.00 each for qty. 1-9)Asking $500.00 for the pair."
1322,"Forsale:Proton P1100 preamplifier========================= About 3.5 years old, originally $299, asking $150or best offer.  Has inputs for tape 1, tape 2, CD, phono, video and tuner.Separate listen and record selectors.  Bass EQ, subharmonic filter and monoswitch.  High quality volume potentiometer.  In excellent condition, withoriginal boxes and manual.Sony D-88 portable Diskman========================== This is the one designed to play the mini CD's.You can play normal size CDs, but the disk sticks out the side.  Workswell,but may skip occasionally - it should be tuned up (heads aligned, cleaned,etc.)  In excellent condition.  It has not been used all that much.  Withcarrying case.  Original list was (I think) $300, but I'll take $80 or bestoffer.  It would be good for an office or just to sit on your desk.Please email me <eric@enterprise.bih.harvard.edu> or telephone at(617) 278-0068.Eric"
1329,"Hello,  I have three software packages for sale:  1. The Norton pcANYWHERE version 4.5 for dos. This software     include host and remote software. It can control both     dos and windows 3.1 (both standard and enhanced modes)     activities. Registration card is enclosed.     Price: $40.00  2. The Norton AntiVirus for windows and dos version 2.1. It     can update virus information any time. It also support     networks. Registration card is enclosed.     Price: $40.00  3. DeltaGraph Professional for Windows 3.1. This is the BEST     graphics presentation program I have ever seen. Registration     card is enclosed. Reg. Price: $495.00     Price: $150.00  Thank you for your attention."
1334,"Punchline #3: it would be a good idea just to leave them there.-Tommy Mac-------------------------------------------------------------------------Tom McWilliams 517-355-2178 wk   \\ As the radius of vision increases,18084tm@ibm.cl.msu.edu 336-9591 hm \\ the circumference of mystery grows."
1337,"There is an excellent software program called Astro.calc that does that andmuch more.  The latest address I have is	MMI Corporation	PO Box 19907	Baltimore, MD  21211	Phone (301) 366-1222-- -------------------------------------------------------------------------------Van E. Neie                                      ven@maxwell.physics.purdue.eduPurdue University                                neie@purccvm.bitnet"
1342,": Can anyone tell me where to find a MPEG viewer (either DOS or: Windows).: Thanks in advance.: -- : Alan M. Jackson      Mail : ajackson@cch.cov.ac.uk:      Liverpool Football Club - Simply The Best:               ""You'll Never Walk Alone""You can find a Windows MPEG viewer at wuarchive.wustl.edu in themirrors/msdos/windows3 directory.-- "
1343,"Hi,	I have a few question about graphics programming in VGA/SVGA :1. How VESA standard works?  Any documentation for VESA standard?2. At a higher resolution than 320x200x256 or 640x480x16 VGA mode,   where the video memory A0000-AFFFF is no longer sufficient to hold   all info, what is the trick to do fast image manipulation?  I   heard about memory mapping or video memory bank switching but know   nothing on how it is implemented.   Any advice, anyone?  3. My interest is in 640x480x256 mode.  Should this mode be called   SVGA mode?  What is the technique for fast image scrolling for the   above mode?  How to deal with different SVGA cards?  Your guidance to books or any other sources to the above questionswould be greatly appreciated.  Please send me mail.  Thanks in advance!*************************************************************************                         Tiang   T.    Foo                            **		      tiang@uokmax.ecn.uoknor.edu 		       *************************************************************************    "
1348,I will sell it for $33 including shipping...
1349,"I have the following item for sale:Electronic Typewriter: Panasonic KT-32, with 22K memory, small LCD display. I'm	selling it bundled with a Panasonic computer interface (RPK105) for this	typewriter. You can connect it to any PC parallel port (sorry, no	cable). It works perfect, even in Windows (TTY printer). It's	great if you need to send letter with ""typewriter look"". In	stand-alone mode it has 3 pitches, and several ""effects"" like	underline, bold, overstrike. Built-in dictionary and character/word/	line correction. Asking $150 for both the typewriter and the	interface-------------------------------------------------------------------------------Jorge Lach			Sun Microsystems Computer CorporationJorge.Lach@East.Sun.Com		East Coast Division, Chelmsford, MA"
1350,	Whatta ass!!!!!
1352, Opps!  typed in the phone numbers wrong.  Here are the correct numbers.                                            303-530-9000                                       505-277-6563
1353,Level 5 refers to the Carnegie-Mellon Software Engineering Institute'sCapability Maturity Model.  This model rates software developmentorg's from1-5.  with 1 being Chaotic and 5 being Optimizing.  DoD isbeginning to use this rating system as a discriminator in contracts.  Ihave more data on thifrom 1 page to 1000.  I have a 20-30 pagepresentation that summarizes it wethat I could FAX to you if you'reinterested...Bret WingertWingert@VNET.IBM.COM
1358,I have the following Amiga software for sale:ProVideo GOLD                   $50AmigaVision                     $25B.E.S.T. Plan It!               $10spreadsheet(still in shrinkwrap)SuperBack                       $10(hard drive backup)Certificate Maker               $10Add s&h to the above and its yours...email me at the address listed below:
1360,"	Kudos to Mark for his generous offer, but there already exists alarge (email-based) forwarding system for sci.space posts:  Space Digest.It mirrors sci.space exactly, and provides simple two-way communication.	TO SUBSCRIBE:	   Send the following message in the *body* (not subject) of an	   email message:		subscribe space John Q Public	   to one of these addresses:		listserv@uga		listserv@uga.cc.uga.edu		listserv@finhutc		listserv@finhuc.hut.fi		space-request@isu.isunet.edu	   You'll receive all the posts in ""digest"" form once a day.  Please	   use a listserv if you can, the ""space-request"" address is handled	   manually.	TO POST MESSAGES:	   Send your message (with a reasonable Subject line) to:		space@isu.isunet.eduQuestions, comments to space-request@isu.isunet.edu"
1361,"Posting this for a friendSunnyvale, California1982 Porsche 928 GTS Packageleather interioreuropean handling packagesunroofcruise control88,000k milesnew paintImmaculate in every way********** DELIVERY POSSIBLE TO DESTINATION WITH DEPOSIT ********$10,000 firmLow book is 11,500  High book is 16,000Phone (408) 296-4444 Frank RosquiAs new this vehicle was $74,000"
1364,PATRICK1st rd:	Pens over Isles in 4.	Devils over Caps in 6.2nd:	Pens over Devils in 7.ADAMS1st rd: B's over Sabres in 5.	Nords over Habs in 5.2nd:	B's over Nords in 6.NORRIS1st:	Hawks over Stars/Blues in 5.	Wings over Leafs in 7.2nd:	Hawks over Wings in 5.SMYTHE1st:	Jets over Canucks in 7.	(call it a hunch)	Flames over Kings in 5.2nd:	Jets over Flames in 6.WALESPens over B's in 7.	CAMPBELLHawks over Jets in 5.STANLEYPens over Hawks in 5.
